City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Seddon,AU,-37.8068,144.8916,49.68,87,0,12.66,clear sky
155,Melilla,ES,35.2937,-2.9383,75.4,64,0,10.36,clear sky
156,Paamiut,GL,61.994,-49.6678,34.99,85,99,25.7,overcast clouds
157,Puerto Carreno,CO,6.189,-67.4859,89.58,58,20,6.91,few clouds
158,Juneau,US,58.3019,-134.4197,63.84,69,75,8.05,broken clouds
159,Kisanga,TZ,-7.4362,37.7034,75.76,60,97,1.63,overcast clouds
160,Tuatapere,NZ,-46.1333,167.6833,45.34,92,100,4.43,overcast clouds
161,Beni Suef,EG,29.0731,31.0979,86.94,18,0,12.06,clear sky
162,Satipo,PE,-11.2522,-74.6386,86.2,48,39,1.25,scattered clouds
163,Arona,ES,28.0996,-16.681,64.92,63,75,13.8,broken clouds
164,Badou,TG,7.5833,0.6,76.14,89,5,3.96,light rain
165,Tazmalt,DZ,36.3868,4.3989,72.52,49,5,3.6,clear sky
166,Daru,PG,-9.0763,143.2092,78.93,72,95,8.95,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,80.85,81,68,24.79,broken clouds
168,Dunedin,NZ,-45.8742,170.5036,44.8,78,100,3.11,overcast clouds
169,Kutum,SD,14.2,24.6667,81.16,10,6,5.08,clear sky
170,Camacha,PT,33.0833,-16.3333,65.62,73,75,13.8,broken clouds
171,Broken Hill,AU,-31.95,141.4333,53.87,60,100,5.48,overcast clouds
172,Kingaroy,AU,-26.5333,151.8333,44.64,100,7,0.0,mist
173,Pevek,RU,69.7008,170.3133,29.59,73,97,4.25,overcast clouds
174,Rio Gallegos,AR,-51.6226,-69.2181,42.85,52,40,24.16,scattered clouds
175,Haukipudas,FI,65.1765,25.3523,48.25,87,43,6.73,scattered clouds
176,Ciudad Bolivar,VE,8.1222,-63.5497,95.16,30,98,6.76,overcast clouds
177,Bilibino,RU,68.0546,166.4372,39.42,57,88,3.49,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,42.12,86,100,3.22,overcast clouds
179,Hithadhoo,MV,-0.6,73.0833,84.38,68,71,10.09,broken clouds
180,Lapua,FI,62.9693,23.0088,49.1,94,100,4.27,overcast clouds
181,Besancon,FR,47.2488,6.0182,56.14,64,1,7.27,clear sky
182,Pierre,US,44.3683,-100.351,85.12,39,0,14.0,clear sky
183,Lamu,KE,-2.2717,40.902,80.82,77,33,15.9,scattered clouds
184,Poum,NC,-20.2333,164.0167,76.64,70,13,7.72,few clouds
185,Maryville,US,35.7565,-83.9705,78.19,64,75,5.75,broken clouds
186,Port Hardy,CA,50.6996,-127.4199,53.78,66,75,6.91,broken clouds
187,Iranshahr,IR,27.2025,60.6848,97.14,12,0,9.22,clear sky
188,Castro,BR,-24.7911,-50.0119,70.0,58,14,7.92,few clouds
189,Senanga,ZM,-16.1167,23.2667,61.09,33,0,6.11,clear sky
190,Makakilo City,US,21.3469,-158.0858,80.92,69,75,10.36,broken clouds
191,Emerald,AU,-23.5333,148.1667,55.35,83,0,6.55,clear sky
192,Esperance,AU,-33.8667,121.9,54.54,64,95,27.69,light rain
193,Clyde River,CA,70.4692,-68.5914,28.63,74,100,12.66,overcast clouds
194,Bairiki,KI,1.3292,172.9752,80.6,83,75,9.22,broken clouds
195,Ostersund,SE,63.1792,14.6357,41.61,87,20,16.11,light rain
196,New Norfolk,AU,-42.7826,147.0587,42.93,88,49,1.07,scattered clouds
197,Hvolsvollur,IS,63.7533,-20.2243,53.06,65,100,8.95,overcast clouds
198,Laguna,US,38.421,-121.4238,75.76,45,0,12.66,clear sky
199,Asfi,MA,32.2994,-9.2372,66.49,79,17,6.49,few clouds
200,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,63,20,16.91,few clouds
201,Grants,US,35.1473,-107.8514,80.83,9,0,17.27,clear sky
202,Camocim,BR,-2.9022,-40.8411,79.99,87,53,9.73,broken clouds
203,Batemans Bay,AU,-35.7167,150.1833,51.03,91,57,4.07,broken clouds
204,Ponta Do Sol,PT,32.6667,-17.1,69.71,73,10,10.02,clear sky
205,Oussouye,SN,12.485,-16.5469,86.18,59,100,10.76,overcast clouds
206,Wiarton,CA,44.7407,-81.1332,67.03,52,75,6.91,broken clouds
207,Talnakh,RU,69.4865,88.3972,31.21,87,6,7.43,clear sky
208,Chuy,UY,-33.6971,-53.4616,56.57,73,100,6.55,overcast clouds
209,Jumla,NP,29.2747,82.1838,57.24,91,100,0.83,overcast clouds
210,Udachnyy,RU,66.4167,112.4,43.45,56,55,5.82,broken clouds
211,Ambon,ID,-3.6954,128.1814,75.34,94,40,3.44,scattered clouds
212,Saskylakh,RU,71.9167,114.0833,14.94,98,80,1.88,broken clouds
213,Verkhnyaya Inta,RU,65.9811,60.3094,58.15,53,48,20.4,scattered clouds
214,Owando,CG,-0.4819,15.8999,74.3,86,72,2.64,broken clouds
215,Saint-Philippe,RE,-21.3585,55.7679,69.39,68,66,12.57,broken clouds
216,Codrington,AU,-38.2667,141.9667,48.92,92,97,6.85,overcast clouds
217,Macae,BR,-22.3708,-41.7869,78.55,78,0,6.91,clear sky
218,Kruisfontein,ZA,-34.0033,24.7314,57.88,85,1,8.66,clear sky
219,Airai,TL,-8.9266,125.4092,57.33,89,24,1.25,few clouds
220,Saint-Pierre,RE,-21.3393,55.4781,69.91,64,20,6.91,few clouds
221,Iskateley,RU,67.6803,53.1512,57.34,54,30,13.51,scattered clouds
222,Humaita,BR,-7.5061,-63.0208,84.96,61,100,1.88,overcast clouds
223,Gizo,SB,-8.103,156.8419,81.36,74,79,2.19,broken clouds
224,San Andres,CO,12.5847,-81.7006,86.02,74,40,5.75,scattered clouds
225,Meulaboh,ID,4.1363,96.1285,75.76,87,100,4.92,overcast clouds
226,Kavieng,PG,-2.5744,150.7967,80.6,75,100,4.27,overcast clouds
227,Katsuura,JP,35.1333,140.3,66.61,86,100,4.79,overcast clouds
228,Omsukchan,RU,62.5333,155.8,37.45,85,97,3.87,overcast clouds
229,Coihaique,CL,-45.5752,-72.0662,42.75,61,20,4.61,few clouds
230,Sobolevo,RU,54.4299,31.8996,45.28,89,100,5.55,overcast clouds
231,Vestmannaeyjar,IS,63.4427,-20.2734,49.71,81,100,13.15,overcast clouds
232,Deputatskiy,RU,69.3,139.9,22.96,89,24,0.45,few clouds
233,Kavaratti,IN,10.5669,72.642,81.91,79,54,9.4,broken clouds
234,Trogir,HR,43.5125,16.2517,75.25,43,0,10.36,clear sky
235,Matara,LK,5.9485,80.5353,76.75,92,77,8.52,broken clouds
236,Burnie,AU,-41.0667,145.9167,46.67,89,12,4.03,few clouds
237,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,17.27,scattered clouds
238,Dickinson,US,29.4608,-95.0513,95.07,60,40,8.05,scattered clouds
239,Afua,BR,-0.1567,-50.3867,80.4,88,94,4.83,moderate rain
240,Muktsar,IN,30.4833,74.5167,93.27,35,3,8.21,clear sky
241,Avarua,CK,-21.2078,-159.775,78.85,78,29,6.91,scattered clouds
242,Tungor,RU,53.3808,142.9564,34.74,99,100,8.34,overcast clouds
243,Bhadrak,IN,21.0633,86.5054,92.21,36,100,5.23,overcast clouds
244,Bani Walid,LY,31.7566,13.9942,78.15,36,5,20.38,clear sky
245,Pacific Grove,US,36.6177,-121.9166,71.28,67,0,5.99,clear sky
246,Nisia Floresta,BR,-6.0911,-35.2086,82.78,84,100,4.47,overcast clouds
247,Labuhan,ID,-6.8844,112.2051,79.34,80,26,2.06,scattered clouds
248,Tornio,FI,65.8481,24.1466,48.22,74,92,2.44,overcast clouds
249,Dax,FR,43.75,-1.1667,73.33,78,0,8.05,clear sky
250,Auburn,US,47.3073,-122.2284,61.23,77,100,5.99,overcast clouds
251,Aykhal,RU,66.0,111.5,39.74,54,77,4.0,broken clouds
252,Mar Del Plata,AR,-38.0023,-57.5575,56.08,61,0,6.91,clear sky
253,Fairbanks,US,64.8378,-147.7164,65.48,36,0,0.0,clear sky
254,Tabou,CI,4.423,-7.3528,79.65,81,17,7.67,few clouds
255,Salalah,OM,17.0151,54.0924,84.29,79,0,8.05,clear sky
256,Bambanglipuro,ID,-7.95,110.2833,75.63,92,44,3.62,scattered clouds
257,Fairfield,US,41.2668,-73.3162,68.18,92,100,4.61,moderate rain
258,Coahuayana,MX,18.7333,-103.6833,92.07,46,93,8.16,overcast clouds
