City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Tupa,BR,2022-05-03 19:54:30,-21.9347,-50.5136,82.09,48,77,5.68
134,Yakima,US,2022-05-03 19:54:31,46.4665,-120.6678,67.55,44,10,2.95
135,Bulgan,MN,2022-05-03 19:54:31,48.8125,103.5347,53.87,57,100,4.38
136,Kavieng,PG,2022-05-03 19:54:32,-2.5744,150.7967,81.73,80,100,8.77
137,Bethel,US,2022-05-03 19:54:32,41.3712,-73.414,60.35,78,100,5.01
138,Chokurdakh,RU,2022-05-03 19:54:33,70.6333,147.9167,27.16,96,100,3.94
139,Sao Gabriel Da Cachoeira,BR,2022-05-03 19:54:33,-0.1303,-67.0892,89.4,62,40,4.61
140,Port Lincoln,AU,2022-05-03 19:54:34,-34.7333,135.8667,56.64,62,70,16.51
141,Murgab,TM,2022-05-03 19:54:34,37.4966,61.9714,69.67,60,75,6.91
142,Carballo,ES,2022-05-03 19:54:34,43.213,-8.691,57.76,86,19,10.11
143,Oksfjord,NO,2022-05-03 19:54:35,70.2396,22.3479,30.38,83,100,15.46
144,Zabol,AF,2022-05-03 19:54:35,32.25,67.25,64.29,42,100,8.86
145,Arraial Do Cabo,BR,2022-05-03 19:54:36,-22.9661,-42.0278,84.16,74,0,14.97
146,Talnakh,RU,2022-05-03 19:54:36,69.4865,88.3972,18.21,95,100,6.29
147,Dosso,NE,2022-05-03 19:54:37,13.049,3.1937,94.51,17,73,6.4
148,Baiyin,CN,2022-05-03 19:54:37,36.5583,104.2081,53.42,31,26,0.58
149,Beringovskiy,RU,2022-05-03 19:54:38,63.05,179.3167,17.73,88,23,7.0
150,Provideniya,RU,2022-05-03 19:54:38,64.3833,-173.3,20.8,52,37,11.1
151,Flin Flon,CA,2022-05-03 19:54:30,54.7682,-101.865,30.04,86,100,11.5
152,Dikson,RU,2022-05-03 19:54:39,73.5069,80.5464,-2.47,100,64,3.58
153,Lazarev,RU,2022-05-03 19:54:39,52.225,141.5131,30.18,97,98,8.08
154,College,US,2022-05-03 19:54:39,64.8569,-147.8028,53.47,41,0,4.61
155,Aykhal,RU,2022-05-03 19:54:40,66.0,111.5,21.2,96,100,8.7
156,Saint-Philippe,RE,2022-05-03 19:54:40,-21.3585,55.7679,71.19,83,50,10.65
157,General Pico,AR,2022-05-03 19:51:21,-35.6566,-63.7568,67.12,31,0,9.78
158,Kaeo,NZ,2022-05-03 19:54:41,-35.1,173.7833,54.32,96,18,8.43
159,Guerrero Negro,MX,2022-05-03 19:54:41,27.9769,-114.0611,67.6,59,100,14.99
160,Road Town,VG,2022-05-03 19:54:42,18.4167,-64.6167,84.24,70,20,10.36
161,Lieksa,FI,2022-05-03 19:54:42,63.3167,30.0167,28.13,89,67,7.05
162,Saskylakh,RU,2022-05-03 19:54:43,71.9167,114.0833,12.43,95,93,7.58
163,Bad Munstereifel,DE,2022-05-03 19:54:43,50.55,6.7667,54.12,60,53,4.52
164,Saldanha,ZA,2022-05-03 19:54:44,-33.0117,17.9442,59.05,94,43,14.25
165,Manokwari,ID,2022-05-03 19:54:44,-0.8667,134.0833,78.4,82,99,4.27
166,Broome,US,2022-05-03 19:54:44,42.2506,-75.833,70.7,52,100,7.0
167,Ponta Do Sol,PT,2022-05-03 19:54:45,32.6667,-17.1,65.03,54,30,5.3
168,Kuminskiy,RU,2022-05-03 19:54:45,58.6667,66.5667,37.92,67,23,7.96
169,Nanortalik,GL,2022-05-03 19:54:46,60.1432,-45.2371,34.97,85,72,5.86
170,North Platte,US,2022-05-03 19:54:46,41.1239,-100.7654,50.38,63,95,10.0
171,Bambous Virieux,MU,2022-05-03 19:54:47,-20.3428,57.7575,77.25,88,40,5.75
172,Hofn,IS,2022-05-03 19:54:47,64.2539,-15.2082,42.85,88,100,3.24
173,Maceio,BR,2022-05-03 19:54:48,-9.6658,-35.7353,83.64,74,75,9.22
174,Alice Springs,AU,2022-05-03 19:54:48,-23.7,133.8833,58.55,67,100,0.0
175,Dalby,AU,2022-05-03 19:54:49,-27.1833,151.2667,54.99,97,6,7.49
176,Narsaq,GL,2022-05-03 19:53:12,60.9167,-46.05,37.09,80,100,5.06
177,Portland,US,2022-05-03 19:50:19,45.5234,-122.6762,60.84,66,75,8.01
178,Broken Hill,AU,2022-05-03 19:54:49,-31.95,141.4333,53.31,71,0,6.91
179,Praia Da Vitoria,PT,2022-05-03 19:54:50,38.7333,-27.0667,64.76,82,40,8.3
180,Santa Isabel Do Rio Negro,BR,2022-05-03 19:55:50,-0.4139,-65.0192,84.79,76,36,2.44
181,Montepuez,MZ,2022-05-03 19:55:51,-13.1256,38.9997,65.14,96,7,6.26
182,Monterey,US,2022-05-03 19:54:08,36.2505,-121.2516,69.17,16,3,8.3
183,Victoria,HK,2022-05-03 19:53:54,22.2855,114.1577,73.45,72,39,5.99
184,Denpasar,ID,2022-05-03 19:54:56,-8.65,115.2167,80.26,94,40,4.61
185,Khatanga,RU,2022-05-03 19:55:52,71.9667,102.5,13.77,94,100,6.6
186,Ailigandi,PA,2022-05-03 19:55:52,9.2333,-78.0167,84.58,76,63,7.09
187,Ilulissat,GL,2022-05-03 19:55:52,69.2167,-51.1,25.47,93,100,6.17
188,Cortez,US,2022-05-03 19:55:53,37.3489,-108.5859,69.03,24,100,28.74
189,Tecoanapa,MX,2022-05-03 19:55:54,16.5167,-98.75,88.39,48,100,12.62
190,Mar Del Plata,AR,2022-05-03 19:51:01,-38.0023,-57.5575,61.95,57,0,14.97
