City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Biak,ID,75.34,overcast clouds,-0.9131,122.8766,Penginapan Kim
525,Ibra,OM,85.51,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
530,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
531,Morro Bay,US,80.73,broken clouds,35.3658,-120.8499,Inn at Morro Bay
532,Kabala,SL,81.84,scattered clouds,9.5833,-11.55,Kabala Hill View
533,Kattivakkam,IN,87.89,clear sky,13.2167,80.3167,Euronova Freezer
535,Pindiga,NG,87.62,clear sky,9.9833,10.9333,Accommodation Center
537,Hyeres,FR,83.05,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
539,Crestview,US,87.3,scattered clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
540,Saint Anthony,US,83.91,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
544,Namatanai,PG,77.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
546,Jos,NG,78.01,broken clouds,9.9167,8.9,Silk Suites
547,Kilindoni,TZ,79.23,light rain,-7.9139,39.6668,Bustani B&B
548,Balabac,PH,80.4,moderate rain,7.9868,117.0645,Batalla’s Lodging House
550,Itarema,BR,80.53,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
552,Laksar,IN,84.74,clear sky,29.7667,78.05,Hotel City Park
561,Amalapuram,IN,87.62,overcast clouds,16.5833,82.0167,swayamprabha service apartments
564,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
570,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
574,Atlantic City,US,80.78,few clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
577,Lucea,JM,85.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
